ProductNumber,ProductName,ProductDescription,RetailPrice,QuantityOnHand,CategoryID
1,Trek 9000 Mountain Bike,,1200.0,6,2
2,Eagle FS-3 Mountain Bike,,1800.0,8,2
3,Dog Ear Cyclecomputer,,75.0,20,1
4,Victoria Pro All Weather Tires,,54.95,20,4
5,Dog Ear Helmet Mount Mirrors,,7.45,12,1
6,Viscount Mountain Bike,,635.0,5,2
7,Viscount C-500 Wireless Bike Computer,,49.0,30,1
8,Kryptonite Advanced 2000 U-Lock,,50.0,20,1
9,Nikoma Lok-Tight U-Lock,,33.0,12,1
10,Viscount Microshell Helmet,,36.0,20,1
11,GT RTS-2 Mountain Bike,,1650.0,5,2
12,Shinoman 105 SC Brakes,,23.5,16,4
13,Shinoman Dura-Ace Headset,,67.5,20,4
14,Eagle SA-120 Clipless Pedals,,139.95,20,4
15,ProFormance Toe-Klips 2G,,4.99,40,4
16,ProFormance ATB All-Terrain Pedal,,28.0,40,4
17,Shinoman Deluxe TX-30 Pedal,,45.0,60,4
18,Viscount CardioSport Sport Watch,,179.0,12,1
19,Viscount Tru-Beat Heart Transmitter,,47.0,20,1
20,Dog Ear Monster Grip Gloves,,15.0,30,1
21,Dog Ear Aero-Flow Floor Pump,,55.0,25,1
22,Pro-Sport 'Dillo Shades,,82.0,18,1
23,Ultra-Pro Rain Jacket,,85.0,30,3
24,StaDry Cycling Pants,,69.0,22,3
25,King Cobra Helmet,,139.0,30,1
26,Glide-O-Matic Cycling Helmet,,125.0,24,1
27,X-Pro All Weather Tires,,24.0,20,6
28,Turbo Twin Tires,,29.0,18,6
29,Ultra-2K Competition Tire,,34.0,22,6
30,Clear Shade 85-T Glasses,,45.0,14,1
31,True Grip Competition Gloves,,22.0,20,1
32,Kool-Breeze Rocket Top Jersey,,32.0,12,3
33,Wonder Wool Cycle Socks,,19.0,30,3
34,TransPort Bicycle Rack,,27.0,14,1
35,HP Deluxe Panniers,,39.0,10,1
36,Cosmic Elite Road Warrior Wheels,,165.0,22,4
37,AeroFlo ATB Wheels,,189.0,40,4
38,Cycle-Doc Pro Repair Stand,,166.0,12,1
39,Road Warrior Hitch Pack,,175.0,6,5
40,Ultimate Export 2G Car Rack,,180.0,8,5
